X	Y	DBH	HT
116.99	104.24	13.21	9.45
200.81	104.24	21.59	14.63
2.08	104.55	18.29	10.97
77.06	104.55	15.24	11.58
186.79	104.55	13.46	10.67
121.26	104.85	24.13	17.07
37.13	105.16	11.94	7.62
113.33	105.16	23.88	11.58
64.26	105.46	17.78	12.5
56.03	105.77	18.29	12.19
166.06	106.07	12.7	11.89
118.52	106.38	29.97	17.98
156.01	106.38	22.35	13.41
3	106.68	12.19	9.75
136.8	106.68	20.83	10.97
166.67	106.68	18.54	14.94
1.47	107.29	13.46	10.67
112.72	107.29	11.68	8.53
51.76	107.59	27.94	13.41
190.45	107.59	12.7	11.28
176.43	107.9	17.27	14.94
175.82	108.2	17.02	14.63
14.58	108.51	11.43	10.06
62.74	108.51	17.02	10.97
19.76	109.12	14.22	12.8
76.76	109.42	17.02	13.72
39.88	109.73	12.7	7.32
78.59	109.73	27.94	18.9
47.8	110.03	14.73	10.06
123.39	110.34	14.99	13.72
137.11	110.64	22.61	15.54
15.8	110.95	15.49	10.97
54.81	110.95	23.88	14.94
159.05	110.95	11.18	9.75
159.97	111.25	15.24	11.58
122.78	111.56	20.32	14.02
49.02	112.78	11.68	3.96
107.85	112.78	17.53	10.06
56.34	113.08	17.27	13.72
18.24	113.69	22.35	13.41
172.47	113.69	13.97	13.11
129.49	114	16.51	14.02
113.03	115.21	13.72	9.45
65.79	115.52	12.45	9.14
12.14	115.82	39.12	19.51
103.58	115.82	28.19	15.85
189.53	115.82	12.19	8.53
186.18	116.13	21.84	16.15
20.37	116.43	18.03	11.89
147.47	116.43	15.24	14.63
115.47	116.74	12.7	8.53
37.13	117.04	13.21	10.67
106.32	117.04	16.26	11.28
76.15	117.35	12.7	9.45
56.64	117.65	18.03	13.41
152.65	117.65	21.59	16.46
49.33	118.26	18.29	11.89
148.69	118.26	21.08	17.98
75.84	118.57	14.22	9.75
147.17	118.57	26.16	18.29
171.55	118.57	13.97	10.36
18.54	118.87	12.45	8.53
60.91	118.87	18.54	12.8
120.34	118.87	19.56	15.54
61.52	119.18	12.95	10.36
107.85	119.18	26.42	18.9
33.48	119.48	14.22	11.28
25.25	119.79	12.95	10.97
34.39	120.09	30.99	16.46
85.6	120.09	13.21	8.84
192.89	120.4	24.38	15.24
195.02	120.7	62.74	28.65
74.02	121.31	17.53	13.72
145.95	121.31	12.7	8.84
45.97	121.62	13.46	10.06
83.46	121.92	23.37	18.29
190.45	121.92	84.07	26.21
30.73	122.22	14.48	12.8
113.64	122.22	23.88	20.42
34.39	122.53	16	13.11
0.25	123.14	14.99	7.92
110.29	123.75	27.94	17.98
114.86	124.05	21.34	17.37
22.5	124.36	22.86	14.63
37.74	124.66	21.34	14.63
70.66	124.97	18.29	13.41
109.07	125.58	17.78	13.72
76.15	126.19	13.72	11.89
90.47	126.49	27.43	18.29
122.17	127.1	30.99	21.64
5.74	127.71	23.62	16.46
67.61	127.71	19.05	15.24
29.82	128.02	36.58	21.64
0.56	128.93	12.7	7.92
63.65	128.93	21.08	17.07
182.22	128.93	14.99	13.11
72.49	129.24	13.72	11.58
107.85	129.24	13.46	11.28
70.05	129.54	16.26	12.8
88.34	129.54	16.26	13.11
90.47	129.84	26.16	17.98
157.84	130.15	11.43	14.33
10.62	130.45	23.37	19.2
156.62	130.45	19.56	17.07
61.82	130.76	20.07	15.24
131.32	131.06	23.62	14.33
164.85	131.06	16.26	14.02
152.96	131.98	35.05	20.73
67	132.28	32	19.51
183.74	132.28	22.1	16.46
84.68	132.59	16.51	13.11
130.4	132.59	23.11	14.63
112.42	132.89	41.66	18.59
34.7	133.2	34.29	21.34
126.44	133.2	27.69	16.46
179.48	134.72	23.88	18.9
48.41	135.03	24.64	16.15
113.03	135.33	23.37	14.33
200.51	135.64	26.67	21.64
16.1	136.25	13.46	11.89
140.46	136.25	52.32	21.95
175.82	136.86	14.99	14.02
17.93	137.16	17.02	14.94
178.56	137.16	24.13	18.9
93.52	137.46	14.99	12.5
186.18	137.46	22.1	18.59
84.99	137.77	14.99	10.67
177.04	138.68	15.49	13.41
13.36	139.29	17.27	14.63
136.19	139.29	27.94	19.51
190.75	139.6	18.8	17.07
159.66	139.9	16	13.41
107.85	140.21	31.75	19.2
65.79	140.51	20.32	16.15
70.97	140.82	20.07	17.98
195.63	140.82	14.73	11.28
75.23	141.43	14.73	13.72
197.46	141.73	15.49	12.8
39.88	142.04	19.05	14.63
8.79	142.34	17.53	14.63
120.04	142.34	30.99	16.76
59.38	143.56	17.27	14.94
192.28	143.56	21.34	13.72
9.09	144.17	18.54	14.63
59.08	144.78	14.48	14.33
160.88	144.78	54.86	29.26
20.07	145.69	15.75	14.63
66.7	145.69	18.03	12.8
81.64	146.3	18.8	15.54
29.51	147.22	23.37	14.63
3.61	147.52	22.86	11.89
49.94	147.52	18.54	15.24
172.16	147.52	17.02	11.58
23.42	148.13	14.99	12.8
177.95	148.13	24.38	15.24
26.16	148.44	13.97	10.67
191.36	148.44	13.72	8.84
56.64	149.05	15.24	11.89
118.21	149.35	20.83	14.63
128.57	149.96	27.43	19.51
10.62	150.27	13.46	13.11
197.15	150.27	15.75	11.58
56.34	150.57	17.02	14.02
48.11	151.18	14.73	12.8
53.29	151.49	24.13	16.76
189.53	151.49	18.54	12.5
67	151.79	19.81	14.33
30.12	152.1	24.38	16.15
0.56	152.7	21.59	13.72
12.14	153.01	15.75	14.33
27.99	153.31	20.32	14.02
9.09	153.62	22.1	17.98
20.68	153.92	12.95	10.06
79.81	154.23	21.59	18.29
43.23	154.53	11.94	11.89
54.2	154.53	21.59	17.68
132.23	154.53	20.83	17.07
7.87	154.84	13.72	10.36
83.16	154.84	11.43	10.67
50.24	155.75	18.54	16.76
69.75	156.36	20.57	15.85
62.13	156.97	16.26	14.94
24.03	157.28	15.75	15.54
86.21	157.58	19.05	19.51
76.15	157.89	23.62	18.29
60.6	158.19	15.75	14.63
48.11	158.5	14.73	12.8
95.35	158.5	28.7	17.37
17.63	158.8	13.46	10.36
132.54	159.72	68.58	25.3
10.01	160.02	16.26	14.94
71.27	160.32	37.59	20.42
124.31	160.32	13.72	12.5
59.08	160.63	18.29	15.24
137.41	160.63	27.43	16.46
7.57	161.24	16.26	13.11
77.06	161.54	19.05	13.41
82.24	162.15	18.54	15.85
21.59	162.46	12.19	10.67
152.65	162.46	83.31	29.26
4.22	162.76	17.53	14.33
73.41	163.07	28.19	17.98
167.28	163.37	17.78	13.41
65.48	163.98	17.78	13.11
56.95	164.29	22.61	17.37
120.04	165.51	17.02	17.07
26.16	166.12	14.48	13.11
52.98	166.42	18.8	15.54
